File Name,Main mission,Sub mission,Academic Summary,Link sub folder
รวมเล่ม GDS.pdf,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.2 การพัฒนาระบบอัตโนมัติและเครื่องมือช่วยปฏิบัติงาน (การเขียนสคริปต์/โค้ด/ระบบอัตโนมัติ),คู่มืออธิบายการใช้งาน Google Data Studio (GDS) แบบ Step-by-Step สำหรับผู้บริหารและครู เพื่อพัฒนาคุณภาพการศึกษาและระบบบริหารจัดการสถานศึกษาโดยใช้สารสนเทศและการขับเคลื่อนด้วยข้อมูล,https://drive.google.com/drive/folders/12npSm4gurZQZymD0KIj0syAIRYTQiEF1?usp=sharing
รวมเล่ม Innovator to innovation final.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,1.2 เครื่องมือการวัดและประเมินผลต้นแบบ,"รายงานการวิจัยและพัฒนาเครื่องมือต้นแบบ ""แบบประเมินคุณลักษณะนวัตกร"" สำหรับนักเรียนชั้นมัธยมศึกษาตอนต้นในจังหวัดเชียงใหม่ โดยผ่านการตรวจสอบคุณภาพพฤติกรรมบ่งชี้ทั้ง 7 ด้านอย่างเป็นวิทยาศาสตร์",https://drive.google.com/drive/folders/1nE74WgwPM3qwR5Z9KMP_1XUyYnYfZFMu?usp=sharing
รวมเล่ม LDS v.2.pdf,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.2 การพัฒนาระบบอัตโนมัติและเครื่องมือช่วยปฏิบัติงาน (การเขียนสคริปต์/โค้ด/ระบบอัตโนมัติ),คู่มือการประยุกต์ใช้ Looker Studio (ฉบับปรับปรุงครั้งที่ 2) สำหรับผู้บริหารและครู เพื่อเปลี่ยนข้อมูลดิบให้เป็นแดชบอร์ดสารสนเทศอัจฉริยะ นำไปสู่การบริหารจัดการห้องเรียนและสถานศึกษาโดยใช้สารสนเทศเป็นฐาน,https://drive.google.com/drive/folders/12npSm4gurZQZymD0KIj0syAIRYTQiEF1?usp=sharing
รวมเล่ม NT คณิตศาสตร์ 63 64 65.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,1.2 เครื่องมือการวัดและประเมินผลต้นแบบ,คลังเครื่องมือและแนวทางการจัดกลุ่มข้อสอบ NT ด้านคณิตศาสตร์ (ปี 2563-2565) แยกตามมาตรฐานและตัวชี้วัด เพื่อให้ครูและนักเรียนชั้นประถมศึกษาปีที่ 3 ใช้สร้างความคุ้นเคยและวางแผนพัฒนาสมรรถภาพรายบุคคล,https://drive.google.com/drive/folders/1nE74WgwPM3qwR5Z9KMP_1XUyYnYfZFMu?usp=sharing
รวมเล่ม NT ภาษาไทย 63 64 65.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,1.2 เครื่องมือการวัดและประเมินผลต้นแบบ,การสกัดและจำแนกกลุ่มแบบทดสอบ NT วิชาภาษาไทย (ปี 2563-2565) ของนักเรียนชั้นประถมศึกษาปีที่ 3 ตามโครงสร้างตัวชี้วัด เพื่อเป็นเครื่องมือต้นแบบให้ครูนำไปวิเคราะห์และออกแบบกิจกรรมซ่อมเสริมได้ตรงจุด,https://drive.google.com/drive/folders/1nE74WgwPM3qwR5Z9KMP_1XUyYnYfZFMu?usp=sharing
รวมเล่ม onet 65 66 67.pdf,กลุ่มที่ 3: การบริหารจัดการเครือข่ายและประสานความร่วมมือเพื่อการพัฒนาการศึกษาเชิงพื้นที่,3.3 รายงานผลการดำเนินงานเชิงระบบและสารสนเทศเพื่อการตัดสินใจของผู้บริหาร,รายงานวิเคราะห์เชิงระบบสารสนเทศจากผลการทดสอบ O-NET (ป.6 และ ม.3) ปี 2565-2567 บนฐานคิด Assessment for Learning เพื่อชี้เป้ามาตรฐานที่ควรเร่งพัฒนา ให้ผู้บริหารใช้ตัดสินใจเชิงนโยบายในพื้นที่จังหวัดเชียงใหม่,https://drive.google.com/drive/folders/1P1-_72U1bdp1cBKSatDVPX91_HLPRCE6?usp=sharing
รวมเล่มการวิเคราะห์มาตรฐานการเรียนรู้เอกชน ท้องถิ่น 2566.pdf,กลุ่มที่ 3: การบริหารจัดการเครือข่ายและประสานความร่วมมือเพื่อการพัฒนาการศึกษาเชิงพื้นที่,3.3 รายงานผลการดำเนินงานเชิงระบบและสารสนเทศเพื่อการตัดสินใจของผู้บริหาร,"รายงานวิจัยเชิงระบบสารสนเทศที่ใช้ ""พื้นที่เป็นฐาน"" โดยวิเคราะห์ผลสอบ O-NET ปี 2566 ของโรงเรียนเอกชนและท้องถิ่นในจังหวัดเชียงใหม่ แยกตามมาตรฐานเพื่อชี้เป้าให้ผู้บริหารใช้ตัดสินใจขับเคลื่อนนโยบาย",https://drive.google.com/drive/folders/1P1-_72U1bdp1cBKSatDVPX91_HLPRCE6?usp=sharing
รวมเล่มกิจกรรมพัฒนาพหุปัญญา ป.4-ป.6 ครูสร้าง final.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,1.2 เครื่องมือการวัดและประเมินผลต้นแบบ,นวัตกรรมชุดเครื่องมือและกิจกรรมประเมินพหุปัญญา (Multiple Intelligences) ที่ผ่านการวิจัยเชิงระบบและสกัดพฤติกรรมบ่งชี้ให้สอดคล้องกับวิถีชีวิตและบริบททางวัฒนธรรมของจังหวัดเชียงใหม่,https://drive.google.com/drive/folders/1nE74WgwPM3qwR5Z9KMP_1XUyYnYfZFMu?usp=sharing
รวมเล่มตัวชี้วัด Onet 2565.pdf,กลุ่มที่ 3: การบริหารจัดการเครือข่ายและประสานความร่วมมือเพื่อการพัฒนาการศึกษาเชิงพื้นที่,3.3 รายงานผลการดำเนินงานเชิงระบบและสารสนเทศเพื่อการตัดสินใจของผู้บริหาร,การรวบรวมและวิเคราะห์สารสนเทศตัวชี้วัดที่ใช้ในข้อสอบ O-NET ปี 2565 (ป.6 และ ม.3) เพื่อเป็นเครื่องมือให้เครือข่ายครูผู้สอนใช้มองเห็นภาพรวมและวางแผนพัฒนาคุณภาพการจัดการเรียนรู้ร่วมกัน,https://drive.google.com/drive/folders/1P1-_72U1bdp1cBKSatDVPX91_HLPRCE6?usp=sharing
รวมเล่มทบทวนความรู้การวิจัยในชั้นเรียน.pdf,กลุ่มที่ 2: การพัฒนาวิชาชีพและหนุนเสริมศักยภาพครูผ่านกระบวนการนิเทศแบบร่วมมือ,2.1 หลักสูตรและสื่อการพัฒนาวิชาชีพครู (เช่น เอกสารประกอบการจัดเวิร์กชอป),สื่อสรุปองค์ความรู้และแบบทดสอบทบทวนเรื่องการวิจัยในชั้นเรียน (ฉบับคนเริ่มต้น) เพื่อใช้หนุนเสริมสมรรถนะครูในการวิเคราะห์ปัญหาห้องเรียนและสร้างนวัตกรรมแก้ไขพฤติกรรมผู้เรียนได้อย่างเป็นระบบ,https://drive.google.com/drive/folders/1XTdr4mmlwkj8wnRVMpYYiECGwHSYoY4H?usp=sharing
รวมเล่มแนวทางการเขียนรายงานการวิจัยในชั้นเรียน เอกชน.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,"1.1 เอกสารวิชาการประเภท ""คู่มือและแนวทางการนิเทศ""",คู่มือและแนวทางวิชาการที่ออกแบบมาจำเพาะสำหรับครูโรงเรียนเอกชน เพื่อใช้เป็นเข็มทิศและกรอบมาตรฐานในการเขียนรายงานวิจัยในชั้นเรียนให้ถูกต้อง น่าเชื่อถือ และสอดคล้องกับเกณฑ์การพัฒนาวิชาชีพ,https://drive.google.com/drive/folders/1rMBq7XiQFJBOZsH7W5O8Ys1MwdYDbU3K?usp=sharing
รวมเล่มเปรียบเทียบมาตรฐานการเรียนรู้ 2565.pdf,กลุ่มที่ 3: การบริหารจัดการเครือข่ายและประสานความร่วมมือเพื่อการพัฒนาการศึกษาเชิงพื้นที่,3.3 รายงานผลการดำเนินงานเชิงระบบและสารสนเทศเพื่อการตัดสินใจของผู้บริหาร,งานวิจัยเปรียบเทียบคะแนนเฉลี่ยร้อยละตามมาตรฐานการเรียนรู้จากผลสอบ O-NET ปี 2565 ของจังหวัดเชียงใหม่ เพื่อสกัดเป็นสารสนเทศเชิงลึกให้สถานศึกษาและผู้บริหารใช้ชี้เป้าจุดที่ต้องเร่งพัฒนาพัฒนาเชิงพื้นที่,https://drive.google.com/drive/folders/1P1-_72U1bdp1cBKSatDVPX91_HLPRCE6?usp=sharing
รวมเล่มรายงาน NT 2561.pdf,กลุ่มที่ 3: การบริหารจัดการเครือข่ายและประสานความร่วมมือเพื่อการพัฒนาการศึกษาเชิงพื้นที่,3.3 รายงานผลการดำเนินงานเชิงระบบและสารสนเทศเพื่อการตัดสินใจของผู้บริหาร,รายงานการวิเคราะห์ผลการทดสอบ NT ชั้น ป.3 ปี 2561 ของจังหวัดเชียงใหม่ (มิติความสามารถ 3 ด้าน) เพื่อเป็นฐานข้อมูลสารสนเทศระยะยาว (Longitudinal Data) ในการกำหนดทิศทางการขับเคลื่อนคุณภาพการศึกษาขั้นพื้นฐาน,https://drive.google.com/drive/folders/1P1-_72U1bdp1cBKSatDVPX91_HLPRCE6?usp=sharing
รวมเล่มรายงาน Onet 2566.pdf,กลุ่มที่ 3: การบริหารจัดการเครือข่ายและประสานความร่วมมือเพื่อการพัฒนาการศึกษาเชิงพื้นที่,3.3 รายงานผลการดำเนินงานเชิงระบบและสารสนเทศเพื่อการตัดสินใจของผู้บริหาร,รายงานวิจัยแนวทางการพัฒนาคุณภาพการศึกษาเชิงพื้นที่ (Area-Based Education) จากผลสอบ O-NET ปี 2566 จำแนกรายอำเภอ เพื่อส่งต่อข้อมูลเชิงประจักษ์ให้ผู้บริหารระดับนโยบายใช้ตัดสินใจจัดสรรทรัพยากร,https://drive.google.com/drive/folders/1P1-_72U1bdp1cBKSatDVPX91_HLPRCE6?usp=sharing
รวมเล่มรายงาน ท 2.1 2566.pdf,กลุ่มที่ 3: การบริหารจัดการเครือข่ายและประสานความร่วมมือเพื่อการพัฒนาการศึกษาเชิงพื้นที่,3.3 รายงานผลการดำเนินงานเชิงระบบและสารสนเทศเพื่อการตัดสินใจของผู้บริหาร,งานวิจัยเจาะลึกสมรรถนะการเขียน (มาตรฐาน ท 2.1) ของนักเรียน ป.6 และ ม.3 จังหวัดเชียงใหม่ จากผลสอบ O-NET ปี 2566 สังเคราะห์ข้อค้นพบรายสังกัดเพื่อส่งต่อเครือข่ายครูภาษาไทยนำไปปฏิรูปวิธีการจัดกิจกรรมเรียนรู้,https://drive.google.com/drive/folders/1P1-_72U1bdp1cBKSatDVPX91_HLPRCE6?usp=sharing
รวมเล่มรายงานการบริหารการสอบ onet 2563.pdf,กลุ่มที่ 3: การบริหารจัดการเครือข่ายและประสานความร่วมมือเพื่อการพัฒนาการศึกษาเชิงพื้นที่,3.3 รายงานผลการดำเนินงานเชิงระบบและสารสนเทศเพื่อการตัดสินใจของผู้บริหาร,งานวิจัยประเมินผลการบริหารจัดการทดสอบระดับชาติ O-NET ปี 2563 ของศูนย์สอบจังหวัดเชียงใหม่ เพื่อสกัดปัญหา อุปสรรค และข้อเสนอแนะเชิงระบบในการยกระดับมาตรฐานความโปร่งใสและประสิทธิภาพการจัดสอบ,https://drive.google.com/drive/folders/1P1-_72U1bdp1cBKSatDVPX91_HLPRCE6?usp=sharing
ระบบสารสนเทศวิเคราะห์ผลสัมฤทธิ์ระดับชาติ (O-NET): จังหวัดเชียงใหม่,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.4 แพลตฟอร์มและระบบสารสนเทศอัจฉริยะบนเครือข่ายอินเทอร์เน็ต (Website/Dashboard),การพัฒนาเว็บแอปพลิเคชันสารสนเทศอัจฉริยะเพื่อวิเคราะห์และเปรียบเทียบแนวโน้มผลสอบ O-NET ย้อนหลัง 4 ปี (2565-2568) ของ ศธจ.เชียงใหม่ จำแนกรายสังกัดและมาตรฐานการเรียนรู้ ช่วยให้ศึกษานิเทศก์ใช้เป็นเครื่องมือชี้เป้าในการนิเทศเชิงรุกได้อย่างแม่นยำ,https://ais-pre-lelv2qehhaoemuuh7e56bb-958605973671.asia-southeast1.run.app/
คลังกิจกรรมการเรียนรู้ส่งเสริมพหุปัญญาล้านนา,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.4 แพลตฟอร์มและระบบสารสนเทศอัจฉริยะบนเครือข่ายอินเทอร์เน็ต (Website/Dashboard),แพลตฟอร์ม Web application คลังนวัตกรรมการสอนระดับประถมศึกษา (ป.4-6) ที่บูรณาการ Soft Power ล้านนาเข้ากับพหุปัญญา มีระบบสืบค้นและคัดกรองกิจกรรม (Filter) ตามระดับชั้น บริบทท้องถิ่น และมิติพหุปัญญาหลัก เพื่อให้ครูผู้สอนเข้าถึงแผนการจัดการเรียนรู้และไอเดียการประเมินผลได้สะดวก,https://cm-mi-p4-p6.vercel.app/
ระบบประเมินและเรียนรู้องค์ประกอบ Active Learning,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.4 แพลตฟอร์มและระบบสารสนเทศอัจฉริยะบนเครือข่ายอินเทอร์เน็ต (Website/Dashboard),"ระบบสารสนเทศดิจิทัล ""Active Learning @ CMPEO"" สนับสนุนการประเมินตนเองของครูและผู้บริหารในการขับเคลื่อนการจัดการเรียนรู้เชิงรุกเชิงพื้นที่ (เชียงใหม่ พ.ศ. 2568-2569) ประมวลผลจากงานวิจัยเชิงโครงสร้างสถิติเพื่อยกระดับขีดความสามารถการสอนอย่างยั่งยืน",https://active-learning-cmpeo.vercel.app/
ครูพร้อมใช้ (AI Prompt Library),กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.4 แพลตฟอร์มและระบบสารสนเทศอัจฉริยะบนเครือข่ายอินเทอร์เน็ต (Website/Dashboard),"แพลตฟอร์ม ""ครูพร้อมใช้ (AI Prompt Library)"" คลังคำสั่งปฏิสัมพันธ์ (Prompt) สำหรับครูเพื่อใช้ AI เจนเนอเรชันสร้างสื่อการสอนและเครื่องมือประเมินสมรรถนะ/พหุปัญญาผู้เรียนรายบุคคล มีระบบแยกหมวดหมู่อาชีพ วัฒนธรรม และปุ่มคัดลอกโค้ดไปใช้ได้ทันที",https://sornorpoom.github.io/prompt-for-digital-art/
Podcast การวัดและประเมินผลในชั้นเรียน,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.5 ห้องเรียนดิจิทัลและแพลตฟอร์มสื่อมัลติมีเดียออนไลน์,สื่อมัลติมีเดียสร้างความรู้ความเข้าใจพื้นฐานเกี่ยวกับความหมาย ลักษณะ และบทบาทสำคัญของการวัดและประเมินผลการศึกษา เพื่อวางกรอบแนวคิดที่ถูกต้องให้แก่ครูผู้สอน,https://www.youtube.com/playlist?list=PLUyZy8gE6N_blZX5anGIcirZKlUCrI3pq
Podcast การวิจัยในชั้นเรียน,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.5 ห้องเรียนดิจิทัลและแพลตฟอร์มสื่อมัลติมีเดียออนไลน์,สื่อมัลติมีเดียสร้างความรู้ความเข้าใจพื้นฐานเกี่ยวกับความหมาย ลักษณะ และบทบาทสำคัญของการวิจัยในชั้นเรียน เพื่อวางกรอบแนวคิดที่ถูกต้องให้แก่ครูผู้สอน,https://www.youtube.com/playlist?list=PLUyZy8gE6N_YjftmsqIe7dDdA5sCt-YeM
คลังสื่อวิดีโอพอดแคสต์,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.5 ห้องเรียนดิจิทัลและแพลตฟอร์มสื่อมัลติมีเดียออนไลน์,เป็นคลังสื่อนวัตกรรมการนิเทศทางไกล (Asynchronous Supervision) ที่บูรณาการองค์ความรู้ 3 มิติหลัก ได้แก่ กระบวนการวัดผลเฉพาะทาง (พหุปัญญา/O-NET) แนวทางการบริหารจัดการสถานศึกษาเพื่อรับการประเมินภายนอก และการสื่อสารนโยบายเชิงระบบ เพื่อให้ครูและผู้บริหารสามารถเข้าถึงคำแนะนำทางวิชาการได้ทุกที่ทุกเวลา,https://www.youtube.com/playlist?list=PLUyZy8gE6N_aknJFyCxvGRTojUvsqs02H
เพลย์ลิสต์ Classroom Assessment Tip,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.5 ห้องเรียนดิจิทัลและแพลตฟอร์มสื่อมัลติมีเดียออนไลน์,เป็นคลังสื่อนวัตกรรมการนิเทศดิจิทัลในรูปแบบวิดีโอขนาดสั้น (Micro-learning) เพื่อพัฒนาวิชาชีพครูรายบุคคล มุ่งเน้นการให้ความรู้และแนวคิดกระชับ (Tips) เกี่ยวกับการบริหารจัดการระบบการวัดและประเมินผลในชั้นเรียน (Classroom Assessment) ความท้าทายด้านเทคโนโลยี และความฉลาดรู้ด้านการประเมิน (Assessment Literacy),https://www.youtube.com/playlist?list=PLUyZy8gE6N_abHWKZ0pmSbEAr1-0hfpvg
Assessment Talk,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.5 ห้องเรียนดิจิทัลและแพลตฟอร์มสื่อมัลติมีเดียออนไลน์,"วิดีโอออนไลน์ที่ใช้ถ่ายทอดสดและบันทึกเทปการเสวนาทางวิชาการ มุ่งเน้นการยกระดับสมรรถนะครูและบุคลากรทางการศึกษา ด้านการวัดและประเมินผลการศึกษาขั้นสูง (EFA, CFA, Mplus) และการประยุกต์ใช้เทคโนโลยีดิจิทัล (Apps Script) เพื่อการบริหารและการนิเทศเชิงระบบ",https://www.youtube.com/playlist?list=PLUyZy8gE6N_aFrglHmzskoJVhL3skDMzz
นวัตกรรมการศึกษาเพื่อพัฒนา NT,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.5 ห้องเรียนดิจิทัลและแพลตฟอร์มสื่อมัลติมีเดียออนไลน์,"สื่อมัลติมีเดียออนไลน์ที่ใช้รวบรวมและเผยแพร่คลิปวิดีโอ ""ตัวอย่างนวัตกรรมการศึกษาเพื่อยกระดับ NT"" ความยาวตอนละ 6-8 นาที เพื่อสร้างคลังความรู้แนวปฏิบัติที่ดี (Best Practices) ของแต่ละโรงเรียนในการขับเคลื่อนคุณภาพการศึกษาเชิงพื้นที่",https://www.youtube.com/playlist?list=PLUyZy8gE6N_ZSopuKt-sPHzWJT93ddlr9
นวัตกรรมการศึกษาเพื่อพัฒนา RT,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.5 ห้องเรียนดิจิทัลและแพลตฟอร์มสื่อมัลติมีเดียออนไลน์,สื่อออนไลน์รูปแบบ Micro-learning (ความยาว 6-8 นาที) ที่ใช้รวบรวมและเผยแพร่ตัวอย่างนวัตกรรมการจัดการเรียนรู้เพื่อยกระดับทักษะการอ่าน (RT) ของโรงเรียนในเครือข่าย เพื่อเป็นโมเดลต้นแบบในการแก้ไขปัญหาภาวะถดถอยทางการเรียนรู้เชิงพื้นที่,https://www.youtube.com/playlist?list=PLUyZy8gE6N_ZnA9a1zFPYeVTocipiOeMe
การวิจัยในชั้นเรียนสำหรับครูวิทยาศาสตร์และกลุ่มสาระที่เกี่ยวข้อง,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.5 ห้องเรียนดิจิทัลและแพลตฟอร์มสื่อมัลติมีเดียออนไลน์,สื่อมัลติมีเดียออนไลน์ที่จัดแสดงวิดีโอนำเสนอผลงานวิจัยในชั้นเรียนและการจัดการเรียนรู้เชิงรุก (Active Learning) ความยาว 5-8 นาที เพื่อสร้างคลังนวัตกรรมต้นแบบในการแก้ปัญหาและพัฒนาทักษะกระบวนการคิดของนักเรียน,https://www.youtube.com/playlist?list=PLUyZy8gE6N_br-Mg2Arejn2NIKtmyYr0f
รวมเล่มตัวอย่างเครื่องมือวัดผลในชั้นเรียน 2565 final.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,1.2 เครื่องมือการวัดและประเมินผลต้นแบบ,เอกสารรวบรวมชุดเครื่องมือวัดและประเมินผลการเรียนรู้ในชั้นเรียน มุ่งเน้นการประเมินตามสภาพจริงและการวัดฐานสมรรถนะเพื่อเป็นแนวทางให้ครูนำไปปรับใช้ในห้องเรียนหลังสถานการณ์โควิด-19,https://drive.google.com/drive/folders/1nE74WgwPM3qwR5Z9KMP_1XUyYnYfZFMu?usp=sharing
รวมเล่มตัวอย่างเครื่องมือวัดผลในชั้นเรียน 2566 final.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,1.2 เครื่องมือการวัดและประเมินผลต้นแบบ,คลังเครื่องมือวัดผลต้นแบบที่มีการยกระดับความสอดคล้องตามตัวชี้วัดและสมรรถนะสำคัญของผู้เรียน มีการเพิ่มความหลากหลายของเกณฑ์การประเมิน (Rubrics) เพื่อรองรับการจัดการเรียนรู้เชิงรุก,https://drive.google.com/drive/folders/1nE74WgwPM3qwR5Z9KMP_1XUyYnYfZFMu?usp=sharing
รวมเล่มตัวอย่างเครื่องมือวัดผลในชั้นเรียน 2567 final.pdf,กลุ่มที่ 1: การพัฒนานวัตกรรมและองค์ความรู้เฉพาะทางในการนิเทศการศึกษา,1.2 เครื่องมือการวัดและประเมินผลต้นแบบ,ชุดเครื่องมือวัดและประเมินผลฉบับปรับปรุงล่าสุด ที่เน้นการประเมินเพื่อพัฒนาการเรียนรู้ (Formative Assessment) และการประเมินสมรรถนะเฉพาะกลุ่มสาระ เพื่อตอบสนองต่อหลักสูตรฐานสมรรถนะอย่างเป็นระบบ,https://drive.google.com/drive/folders/1nE74WgwPM3qwR5Z9KMP_1XUyYnYfZFMu?usp=sharing
รวมเล่มบทคัดย่องานวิจัยในชั้นเรียน 2565.pdf,กลุ่มที่ 2: การพัฒนาวิชาชีพและหนุนเสริมศักยภาพครูผ่านกระบวนการนิเทศแบบร่วมมือ,2.3 การถอดบทเรียนและแนวปฏิบัติที่เป็นเลิศของสถานศึกษา (School Best Practices),เอกสารรวบรวมบทคัดย่องานวิจัยในชั้นเรียนของครูในเครือข่าย สะท้อนภาพรวมการแก้ปัญหาการเรียนรู้เชิงพื้นที่และการฟื้นฟูภาวะถดถอยทางการเรียนรู้ของผู้เรียนผ่านนวัตกรรมท้องถิ่น,https://drive.google.com/drive/folders/18StcylMa_avVn9dn80b2Hns6hale1gH8?usp=sharing
รวมเล่มบทคัดย่องานวิจัยในชั้นเรียน 2566.pdf,กลุ่มที่ 2: การพัฒนาวิชาชีพและหนุนเสริมศักยภาพครูผ่านกระบวนการนิเทศแบบร่วมมือ,2.3 การถอดบทเรียนและแนวปฏิบัติที่เป็นเลิศของสถานศึกษา (School Best Practices),คลังบทคัดย่องานวิจัยในชั้นเรียนที่แสดงถึงการพัฒนาวิธีปฏิบัติที่เป็นเลิศ (Best Practices) โดยเน้นกระบวนการ Active Learning และการแก้ปัญหาพฤติกรรมการเรียนรู้ผ่านนวัตกรรมการสอนที่หลากหลายขึ้น,https://drive.google.com/drive/folders/18StcylMa_avVn9dn80b2Hns6hale1gH8?usp=sharing
รวมเล่มบทคัดย่องานวิจัยในชั้นเรียน 2567.pdf,กลุ่มที่ 2: การพัฒนาวิชาชีพและหนุนเสริมศักยภาพครูผ่านกระบวนการนิเทศแบบร่วมมือ,2.3 การถอดบทเรียนและแนวปฏิบัติที่เป็นเลิศของสถานศึกษา (School Best Practices),ชุดเอกสารสรุปผลงานวิจัยในชั้นเรียนฉบับล่าสุด ที่สะท้อนการสร้างนวัตกรรมการสอนและการผสานเทคโนโลยีดิจิทัลเข้ากับห้องเรียน มุ่งเน้นผลลัพธ์การยกระดับผลสัมฤทธิ์อย่างเป็นรูปธรรมเชิงระบบ,https://drive.google.com/drive/folders/18StcylMa_avVn9dn80b2Hns6hale1gH8?usp=sharing